Date,IR
2000-01-01,6.4915
2000-02-01,6.338571429
2000-03-01,6.02826087
2000-04-01,5.924210526
2000-05-01,6.215
2000-06-01,5.895454545
2000-07-01,5.8635
2000-08-01,5.766363636
2000-09-01,5.7295
2000-10-01,5.723333333
2000-11-01,5.727142857
2000-12-01,5.402105263
2001-01-01,5.418636364
2001-02-01,5.43
2001-03-01,5.301363636
2001-04-01,5.5915
2001-05-01,5.851363636
2001-06-01,5.718095238
2001-07-01,5.80047619
2001-08-01,5.530909091
2001-09-01,5.302631579
2001-10-01,5.232727273
2001-11-01,5.177142857
2001-12-01,5.408421053
2002-01-01,5.343636364
2002-02-01,5.321
2002-03-01,5.667
2002-04-01,5.658636364
2002-05-01,5.595909091
2002-06-01,5.424
2002-07-01,5.290454545
2002-08-01,5.12047619
2002-09-01,4.8855
2002-10-01,5.127272727
2002-11-01,5.0895
2002-12-01,4.9675
2003-01-01,4.961818182
2003-02-01,5.012
2003-03-01,4.997142857
2003-04-01,5.051904762
2003-05-01,4.671904762
2003-06-01,4.288095238
2003-07-01,4.683181818
2003-08-01,4.902
2003-09-01,4.757142857
2003-10-01,4.815454545
2003-11-01,4.856842105
2003-12-01,4.729047619
2004-01-01,4.586190476
2004-02-01,4.4515
2004-03-01,4.260434783
2004-04-01,4.612857143
2004-05-01,4.773
2004-06-01,4.932727273
2004-07-01,4.75
2004-08-01,4.630952381
2004-09-01,4.602380952
2004-10-01,4.55
2004-11-01,4.484761905
2004-12-01,4.32047619
2005-01-01,4.2605
2005-02-01,4.205
2005-03-01,4.358181818
2005-04-01,4.193809524
2005-05-01,4.073809524
2005-06-01,3.828181818
2005-07-01,3.8995
2005-08-01,3.920454545
2005-09-01,3.868571429
2005-10-01,4.047
2005-11-01,4.107142857
2005-12-01,4.041
2006-01-01,4.029047619
2006-02-01,4.17
2006-03-01,4.199565217
2006-04-01,4.415789474
2006-05-01,4.399545455
2006-06-01,4.441363636
2006-07-01,4.444
2006-08-01,4.252727273
2006-09-01,4.068571429
2006-10-01,4.106666667
2006-11-01,3.99952381
2006-12-01,3.966315789
2007-01-01,4.121818182
2007-02-01,4.1175
2007-03-01,4.045909091
2007-04-01,4.1715
2007-05-01,4.292727273
2007-06-01,4.612857143
2007-07-01,4.59
2007-08-01,4.428636364
2007-09-01,4.356315789
2007-10-01,4.362727273
2007-11-01,4.121428571
2007-12-01,4.015789474
2008-01-01,3.848181818
2008-02-01,3.828
2008-03-01,3.509
2008-04-01,3.628636364
2008-05-01,3.621428571
2008-06-01,3.76
2008-07-01,3.750454545
2008-08-01,3.5915
2008-09-01,3.540952381
2008-10-01,3.668181818
2008-11-01,3.571578947
2008-12-01,2.945714286
2009-01-01,2.812380952
2009-02-01,2.960526316
2009-03-01,2.885909091
2009-04-01,2.954285714
2009-05-01,3.202
2009-06-01,3.459090909
2009-07-01,3.429090909
2009-08-01,3.4645
2009-09-01,3.365714286
2009-10-01,3.425238095
2009-11-01,3.3925
2009-12-01,3.416190476
2010-01-01,3.485
2010-02-01,3.423684211
2010-03-01,3.490434783
2010-04-01,3.67
2010-05-01,3.4455
2010-06-01,3.297727273
2010-07-01,3.185238095
2010-08-01,2.94952381
2010-09-01,2.881428571
2010-10-01,2.766
2010-11-01,3.022380952
2010-12-01,3.204761905
2011-01-01,3.253
2011-02-01,3.417368421
2011-03-01,3.266521739
2011-04-01,3.328
2011-05-01,3.151904762
2011-06-01,2.987727273
2011-07-01,2.9385
2011-08-01,2.446363636
2011-09-01,2.196666667
2011-10-01,2.296
2011-11-01,2.122380952
2011-12-01,1.992
2012-01-01,1.98
2012-02-01,2.021
2012-03-01,2.106818182
2012-04-01,2.0645
2012-05-01,1.922272727
2012-06-01,1.747619048
2012-07-01,1.656190476
2012-08-01,1.826818182
2012-09-01,1.837894737
2012-10-01,1.811818182
2012-11-01,1.738095238
2012-12-01,1.767894737
2013-01-01,1.931363636
2013-02-01,1.967894737
2013-03-01,1.8515
2013-04-01,1.748636364
2013-05-01,1.901818182
2013-06-01,2.2445
2013-07-01,2.438181818
2013-08-01,2.611428571
2013-09-01,2.698
2013-10-01,2.518181818
2013-11-01,2.5585
2013-12-01,2.6735
2014-01-01,2.534090909
2014-02-01,2.42
2014-03-01,2.454285714
2014-04-01,2.444761905
2014-05-01,2.315238095
2014-06-01,2.298571429
2014-07-01,2.194545455
2014-08-01,2.062
2014-09-01,2.180952381
2014-10-01,2.010454545
2014-11-01,2.003157895
2014-12-01,1.851904762
2015-01-01,1.525714286
2015-02-01,1.379473684
2015-03-01,1.421363636
2015-04-01,1.410952381
2015-05-01,1.744
2015-06-01,1.78
2015-07-01,1.569545455
2015-08-01,1.3915
2015-09-01,1.481428571
2015-10-01,1.463333333
2015-11-01,1.6335
2015-12-01,1.45952381
2016-01-01,1.258
2016-02-01,1.1245
2016-03-01,1.268181818
2016-04-01,1.336190476
2016-05-01,1.35
2016-06-01,1.168181818
2016-07-01,1.051
2016-08-01,1.042727273
2016-09-01,1.086190476
2016-10-01,1.1665
2016-11-01,1.437619048
2016-12-01,1.732
2017-01-01,1.722380952
2017-02-01,1.702105263
2017-03-01,1.714347826
2017-04-01,1.523157895
2017-05-01,1.513181818
2017-06-01,1.502727273
2017-07-01,1.908
2017-08-01,1.883636364
2017-09-01,2.0495
2017-10-01,2.050952381
2017-11-01,1.918571429
2017-12-01,1.915263158
2018-01-01,2.198181818
2018-02-01,2.324210526
2018-03-01,2.188571429
2018-04-01,2.249047619
2018-05-01,2.375454545
2018-06-01,2.209047619
2018-07-01,2.187142857
2018-08-01,2.295454545
2018-09-01,2.353684211
2018-10-01,2.488636364
2018-11-01,2.407619048
2018-12-01,2.057894737
2019-01-01,1.953636364
2019-02-01,1.907368421
2019-03-01,1.712380952
2019-04-01,1.724285714
2019-05-01,1.664545455
2019-06-01,1.4625
2019-07-01,1.519090909
2019-08-01,1.205238095
2019-09-01,1.364
2019-10-01,1.449545455
2019-11-01,1.4995
2019-12-01,1.6045
2020-01-01,1.492272727
2020-02-01,1.294736842
2020-03-01,0.819090909
2020-04-01,0.657142857
2020-05-01,0.551
2020-06-01,0.561363636
2020-07-01,0.516363636
2020-08-01,0.5635
2020-09-01,0.55952381
2020-10-01,0.602857143
2020-11-01,0.6885
2020-12-01,0.730952381
2021-01-01,0.8055
2021-02-01,1.099473684
2021-03-01,1.496521739
2021-04-01,1.516190476
2021-05-01,1.524
2021-06-01,1.425
2021-07-01,1.251428571
2021-08-01,1.191904762
2021-09-01,1.263
2021-10-01,1.597
2021-11-01,1.685714286
2021-12-01,1.45
2022-01-01,1.759
2022-02-01,1.879473684
2022-03-01,2.132173913
2022-04-01,2.704
2022-05-01,2.918571429
2022-06-01,3.315454545
2022-07-01,3.043157895
2022-08-01,2.859090909
2022-09-01,3.147894737
2022-10-01,3.380526316
2022-11-01,3.166190476
2022-12-01,2.9415
2023-01-01,2.937619048
2023-02-01,3.174210526
2023-03-01,2.993478261
2023-04-01,2.916111111
2023-05-01,3.045454545
2023-06-01,3.338181818
2023-07-01,3.452
2023-08-01,3.654090909
2023-09-01,3.816
2023-10-01,4.062
2023-11-01,3.710952381
2023-12-01,3.234210526
2024-01-01,3.346363636
2024-02-01,3.504
2024-03-01,3.444
2024-04-01,3.695909091
2024-05-01,3.641818182
2024-06-01,3.3915
2024-07-01,3.407727273
2024-08-01,3.0715
2024-09-01,2.944444444
2024-10-01,3.186363636
2024-11-01,3.2785
2024-12-01,3.1615
2025-01-01,3.288636364
2025-02-01,3.056315789